,cat_item,request,sys_updated_on,outcome,elapsed_days,days_to_end
68,590a79518733b09094f140490cbb3580,4bb53fbb87d901d05addc8490cbb354d,2022-02-18 06:00:13,Closed Complete,,
69,590a79518733b09094f140490cbb3580,4bb53fbb87d901d05addc8490cbb354d,2022-02-18 06:00:13,Closed Complete,,
70,da0a989e873b30d094f140490cbb3593,4bb53fbb87d901d05addc8490cbb354d,2022-02-19 06:00:10,Closed Complete,,
71,da0a989e873b30d094f140490cbb3593,4bb53fbb87d901d05addc8490cbb354d,2022-02-19 06:00:10,Closed Complete,,
72,00e9e12587604d9494f140490cbb357f,4bb53fbb87d901d05addc8490cbb354d,2022-02-22 06:00:08,Closed Complete,,
73,00e9e12587604d9494f140490cbb357f,4bb53fbb87d901d05addc8490cbb354d,2022-02-22 06:00:08,Closed Complete,,
74,Closed Complete,4bb53fbb87d901d05addc8490cbb354d,2022-02-22 06:00:09,Closed Complete,-1.0,0.0
75,3385105e87f730d094f140490cbb35cd,39dffa3847ad0950064af271e36d4369,2022-02-06 08:11:04,Closed Complete,,
76,3385105e87f730d094f140490cbb35cd,39dffa3847ad0950064af271e36d4369,2022-02-06 08:11:04,Closed Complete,,
77,00e9e12587604d9494f140490cbb357f,39dffa3847ad0950064af271e36d4369,2022-02-06 08:11:05,Closed Complete,,
78,da0a989e873b30d094f140490cbb3593,39dffa3847ad0950064af271e36d4369,2022-02-07 01:08:27,Closed Complete,,
79,8e4d445287b730d094f140490cbb35b4,39dffa3847ad0950064af271e36d4369,2022-02-07 02:45:50,Closed Complete,,
80,40abdc16877b30d094f140490cbb351d,39dffa3847ad0950064af271e36d4369,2022-02-07 08:47:05,Closed Complete,,
81,16ef04da87b730d094f140490cbb350d,39dffa3847ad0950064af271e36d4369,2022-02-07 10:48:26,Closed Complete,,
82,5d27f19587ff709094f140490cbb3528,39dffa3847ad0950064af271e36d4369,2022-02-07 11:22:39,Closed Complete,,
83,9e7005e2db8f50107ea8264cd39619b5,39dffa3847ad0950064af271e36d4369,2022-02-07 11:22:56,Closed Complete,,
84,b019b9a2dba71454b890bd5c68961990,39dffa3847ad0950064af271e36d4369,2022-02-07 11:23:39,Closed Complete,,
85,aa347d1d87bf709094f140490cbb35a2,39dffa3847ad0950064af271e36d4369,2022-02-07 11:23:51,Closed Complete,,
86,3385105e87f730d094f140490cbb35cd,39dffa3847ad0950064af271e36d4369,2022-02-07 11:35:29,Closed Complete,,
87,c04428de87fb30d094f140490cbb3516,39dffa3847ad0950064af271e36d4369,2022-02-07 11:56:31,Closed Complete,,
88,7ba4ec3e1be7749456f2ece5604bcb07,39dffa3847ad0950064af271e36d4369,2022-02-07 14:06:26,Closed Complete,,
89,8e4d445287b730d094f140490cbb35b4,39dffa3847ad0950064af271e36d4369,2022-02-08 03:58:16,Closed Complete,,
90,3385105e87f730d094f140490cbb35cd,39dffa3847ad0950064af271e36d4369,2022-02-08 11:50:15,Closed Complete,,
91,40abdc16877b30d094f140490cbb351d,39dffa3847ad0950064af271e36d4369,2022-02-08 13:05:26,Closed Complete,,
92,16ef04da87b730d094f140490cbb350d,39dffa3847ad0950064af271e36d4369,2022-02-08 16:58:07,Closed Complete,,
93,5d27f19587ff709094f140490cbb3528,39dffa3847ad0950064af271e36d4369,2022-02-09 08:38:55,Closed Complete,,
94,c04428de87fb30d094f140490cbb3516,39dffa3847ad0950064af271e36d4369,2022-02-09 08:42:36,Closed Complete,,
95,c04428de87fb30d094f140490cbb3516,39dffa3847ad0950064af271e36d4369,2022-02-09 08:42:36,Closed Complete,,
